Using FROZEN split (never recomputed): {"train": ["S1", "S10", "S11", "S12", "S15", "S3", "S4", "S6", "S7", "S8"], "val": ["S13", "S5"], "test": ["S14", "S2", "S9"]}
train windows: 42631 | val windows: 9214 | test windows: 12852
HR normalization (frozen, matches original): mean=86.344666 std=21.048254

=== seed 42: training model_a_ppg_only ===
  epoch  8/20 - train loss 0.2311 | val MAE 10.871 bpm
  epoch  9/20 - train loss 0.2283 | val MAE 10.841 bpm
  epoch 10/20 - train loss 0.2223 | val MAE 10.730 bpm
  epoch 11/20 - train loss 0.2203 | val MAE 11.176 bpm
  epoch 12/20 - train loss 0.2166 | val MAE 10.679 bpm
  epoch 13/20 - train loss 0.2158 | val MAE 10.919 bpm
  epoch 14/20 - train loss 0.2120 | val MAE 10.621 bpm
  epoch 15/20 - train loss 0.2109 | val MAE 11.496 bpm
  epoch 16/20 - train loss 0.2068 | val MAE 11.571 bpm
  epoch 17/20 - train loss 0.2055 | val MAE 11.358 bpm
  epoch 18/20 - train loss 0.2025 | val MAE 11.380 bpm
  epoch 19/20 - train loss 0.2016 | val MAE 11.294 bpm
  epoch 20/20 - train loss 0.1979 | val MAE 11.111 bpm
seed 46 model_a_ppg_only: held-out MAE 9.2136 bpm, RMSE 12.2750 bpm (166.6s)

=== seed 46: training model_b_ppg_plus_imu ===
  epoch  1/20 - train loss 0.2698 | val MAE 13.341 bpm
  epoch  2/20 - train loss 0.1706 | val MAE 13.062 bpm
  epoch  3/20 - train loss 0.1395 | val MAE 12.522 bpm
  epoch  4/20 - train loss 0.1236 | val MAE 12.282 bpm
  epoch  5/20 - train loss 0.1124 | val MAE 10.710 bpm
  epoch  6/20 - train loss 0.1028 | val MAE 9.708 bpm
  epoch  7/20 - train loss 0.0972 | val MAE 10.512 bpm
  epoch  8/20 - train loss 0.0899 | val MAE 10.027 bpm
  epoch  9/20 - train loss 0.0831 | val MAE 11.512 bpm
  epoch 10/20 - train loss 0.0814 | val MAE 11.635 bpm
  epoch 11/20 - train loss 0.0758 | val MAE 10.142 bpm
  epoch 12/20 - train loss 0.0742 | val MAE 9.060 bpm
  epoch 13/20 - train loss 0.0734 | val MAE 10.357 bpm
  epoch 14/20 - train loss 0.0678 | val MAE 11.195 bpm
  epoch 15/20 - train loss 0.0641 | val MAE 11.534 bpm
  epoch 16/20 - train loss 0.0656 | val MAE 11.114 bpm
  epoch 17/20 - train loss 0.0608 | val MAE 10.056 bpm
  epoch 18/20 - train loss 0.0619 | val MAE 10.632 bpm
  epoch 19/20 - train loss 0.0602 | val MAE 10.458 bpm
  epoch 20/20 - train loss 0.0556 | val MAE 10.184 bpm
seed 46 model_b_ppg_plus_imu: held-out MAE 7.4680 bpm, RMSE 10.8622 bpm (342.9s)

=== seed 46: training model_c_ppg_plus_shuffled_imu ===
  epoch  1/20 - train loss 0.3241 | val MAE 11.410 bpm
  epoch  2/20 - train loss 0.2257 | val MAE 9.369 bpm
  epoch  3/20 - train loss 0.1984 | val MAE 10.280 bpm
  epoch  4/20 - train loss 0.1832 | val MAE 8.984 bpm
  epoch  5/20 - train loss 0.1721 | val MAE 8.206 bpm
  epoch  6/20 - train loss 0.1607 | val MAE 7.297 bpm
  epoch  7/20 - train loss 0.1569 | val MAE 8.231 bpm
  epoch  8/20 - train loss 0.1477 | val MAE 8.182 bpm
  epoch  9/20 - train loss 0.1377 | val MAE 8.940 bpm
  epoch 10/20 - train loss 0.1346 | val MAE 7.829 bpm
  epoch 11/20 - train loss 0.1297 | val MAE 9.798 bpm
  epoch 12/20 - train loss 0.1243 | val MAE 7.776 bpm
  epoch 13/20 - train loss 0.1210 | val MAE 7.713 bpm
  epoch 14/20 - train loss 0.1171 | val MAE 10.591 bpm
  epoch 15/20 - train loss 0.1150 | val MAE 7.730 bpm
  epoch 16/20 - train loss 0.1127 | val MAE 9.047 bpm
  epoch 17/20 - train loss 0.1043 | val MAE 7.376 bpm
  epoch 18/20 - train loss 0.1056 | val MAE 9.166 bpm
  epoch 19/20 - train loss 0.1032 | val MAE 8.768 bpm
  epoch 20/20 - train loss 0.0954 | val MAE 7.334 bpm
seed 46 model_c_ppg_plus_shuffled_imu: held-out MAE 8.0376 bpm, RMSE 11.8342 bpm (363.0s)

Wrote C:\Users\Administrator\Desktop\biological-minimalism\results\ppg_dalia_imu_multiseed_replication.json
Replication status: STRONGLY_REPLICATED_POSITIVE
